logger_id,hw_version,sw_version,measurement_number,timestamp,rc_temperature,mag_x,mag_y,mag_z
11.15.29.81,25,57,1,2024-04-02T09:45:44.795Z,0.68,0.24,0.22,0.50
183.215.195.124,48,14,2,2024-04-01T09:45:44.795Z,0.45,0.14,0.11,0.48
232.194.60.154,35,1,3,2024-03-31T09:45:44.795Z,0.05,0.99,0.97,0.08
74.156.128.157,58,24,4,2024-03-30T09:45:44.795Z,0.50,0.11,0.48,0.88
24.16.66.64,34,16,5,2024-03-29T09:45:44.795Z,0.11,0.89,0.47,0.39
24.16.66.64,81,90,6,2024-03-28T09:45:44.795Z,0.72,0.02,0.62,0.84
38.62.124.65,32,99,7,2024-03-27T09:45:44.795Z,0.80,0.46,0.61,0.73
69.53.100.11,63,57,8,2024-03-26T09:45:44.795Z,0.71,0.81,0.37,0.71
184.0.155.18,45,13,9,2024-03-25T09:45:44.795Z,0.38,0.01,0.09,0.25
249.113.7.153,89,84,10,2024-03-24T09:45:44.795Z,0.34,0.98,0.96,0.14
7.156.108.186,26,0,11,2024-03-23T09:45:44.795Z,0.92,0.52,0.62,0.42
225.153.15.120,97,58,12,2024-03-22T09:45:44.795Z,0.35,0.03,0.97,0.64
223.206.84.5,66,67,13,2024-03-21T09:45:44.795Z,0.94,0.25,0.43,0.84
128.168.216.93,50,88,14,2024-03-20T09:45:44.795Z,0.44,0.62,0.46,0.62
129.247.21.135,34,43,15,2024-03-19T09:45:44.795Z,0.01,0.59,0.41,0.91
19.188.91.108,11,18,16,2024-03-18T09:45:44.795Z,0.97,0.42,0.03,0.69
142.91.83.61,92,88,17,2024-03-17T09:45:44.795Z,0.04,0.27,0.44,0.37
92.174.228.133,75,90,18,2024-03-16T09:45:44.795Z,0.28,0.04,0.16,0.26
92.174.228.133,86,35,19,2024-03-15T09:45:44.795Z,0.45,0.61,0.92,0.39
38.62.124.65,81,52,20,2024-03-14T09:45:44.795Z,0.38,0.45,0.71,0.34
152.105.153.190,80,20,21,2024-03-13T09:45:44.795Z,0.10,0.85,0.05,0.09
